Date collected,Location,Provider,Reports,Source,Status,Time collected
Thu 18 Jul 2019,"Tucson, AZ",DirecTV,13,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Fort Lauderdale, FL",DirecTV,13,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Omaha, NE",DirecTV,12,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Des Moines, IA",DirecTV,12,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Rochester, NY",DirecTV,12,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Miami, FL",DirecTV,12,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Long Beach, CA",T-Mobile,105,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Houston, TX",T-Mobile,95,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Los Angeles, CA",T-Mobile,81,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Chicago, IL",T-Mobile,76,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Dallas, TX",T-Mobile,52,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Philadelphia, PA",T-Mobile,51,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Seattle, WA",T-Mobile,50,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Denver, CO",T-Mobile,49,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Portland, OR",T-Mobile,45,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Austin, TX",T-Mobile,42,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Brooklyn, NY",T-Mobile,41,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Orlando, FL",T-Mobile,40,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"The Bronx, NY",T-Mobile,39,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"San Antonio, TX",T-Mobile,32,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Minneapolis, MN",T-Mobile,31,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"New York City, NY",T-Mobile,26,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Atlanta, GA",T-Mobile,26,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Sacramento, CA",T-Mobile,26,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Tampa, FL",T-Mobile,25,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"San Diego, CA",T-Mobile,24,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Washington, D.C., DC",T-Mobile,23,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Detroit, MI",T-Mobile,23,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Las Vegas, NV",T-Mobile,22,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Miami, FL",T-Mobile,21,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"San Francisco, CA",T-Mobile,19,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Cleveland, OH",T-Mobile,19,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Manhattan, NY",T-Mobile,19,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Saint Paul, MN",T-Mobile,18,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"San Jose, CA",T-Mobile,18,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Charlotte, NC",T-Mobile,17,Is the service down,  Problems detected ,14:09:21
Thu 18 Jul 2019,"Manitowoc, WI",US-cellular,9,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Cedar Rapids, IA",US-cellular,6,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Camanche, IA",US-cellular,3,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Rumford, ME",US-cellular,3,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Berkeley Springs, WV",US-cellular,3,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Grants Pass, OR",US-cellular,3,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Milwaukee, WI",US-cellular,3,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Waterloo, IA",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Pella, IA",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Madison, WI",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Urbandale, IA",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Asheville, NC",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Clinton, IA",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Ottumwa, IA",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Des Moines, IA",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Omaha, NE",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Medford, OR",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Janesville, WI",US-cellular,2,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Orlando, FL",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Robersonville, NC",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Cecil, WI",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Clintonville, WI",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Frostburg, MD",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Sylva, NC",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Charles City, IA",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Watertown, WI",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Durant, OK",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Tuskahoma, OK",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"De Witt, IA",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Galena, IL",US-cellular,1,Is the service down,  No problems detected ,14:09:21
Thu 18 Jul 2019,"Dallas, TX",DirecTV,57,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Los Angeles, CA",DirecTV,50,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Denver, CO",DirecTV,41,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Houston, TX",DirecTV,38,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Chicago, IL",DirecTV,33,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Phoenix, AZ",DirecTV,32,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"St. Louis, MO",DirecTV,29,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Austin, TX",DirecTV,29,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Charlotte, NC",DirecTV,24,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Atlanta, GA",DirecTV,24,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"San Antonio, TX",DirecTV,23,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"San Jose, CA",DirecTV,20,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"San Diego, CA",DirecTV,17,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Las Vegas, NV",DirecTV,16,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Minneapolis, MN",DirecTV,16,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Portland, OR",DirecTV,16,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Albuquerque, NM",DirecTV,15,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Colorado Springs, CO",DirecTV,14,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Kansas City, MO",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Sacramento, CA",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Brooklyn, NY",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Arlington, TX",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Indianapolis, IN",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Tulsa, OK",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Tucson, AZ",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Fort Lauderdale, FL",DirecTV,13,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Omaha, NE",DirecTV,12,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Des Moines, IA",DirecTV,12,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Rochester, NY",DirecTV,12,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Miami, FL",DirecTV,12,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Dallas, TX",Frontier,280,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Tampa, FL",Frontier,211,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Los Angeles, CA",Frontier,185,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Chicago, IL",Frontier,111,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Seattle, WA",Frontier,103,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Portland, OR",Frontier,103,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Orlando, FL",Frontier,72,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Atlanta, GA",Frontier,44,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Whittier, CA",Frontier,38,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Indianapolis, IN",Frontier,36,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Irving, TX",Frontier,33,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Mesquite, TX",Frontier,32,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Washington, D.C., DC",Frontier,31,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Riverview, FL",Frontier,30,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Fort Worth, TX",Frontier,30,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Arlington, TX",Frontier,29,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Sarasota, FL",Frontier,28,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"New York City, NY",Frontier,27,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Fort Wayne, IN",Frontier,27,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Miami, FL",Frontier,26,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Brooklyn, NY",Frontier,25,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Detroit, MI",Frontier,24,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Norwalk, CA",Frontier,24,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Riverside, CA",Frontier,24,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Fort Lauderdale, FL",Frontier,24,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Garland, TX",Frontier,23,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Allen, TX",Frontier,23,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Philadelphia, PA",Frontier,22,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Irvine, CA",Frontier,20,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Santa Ana, CA",Frontier,20,Is the service down,  Problems detected ,14:16:39
Thu 18 Jul 2019,"Omaha, NE",Mediacom,551,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Chicago, IL",Mediacom,522,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Des Moines, IA",Mediacom,248,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Minneapolis, MN",Mediacom,213,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Atlanta, GA",Mediacom,186,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Cedar Rapids, IA",Mediacom,161,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"St. Louis, MO",Mediacom,90,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"New Orleans, LA",Mediacom,88,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Camanche, IA",Mediacom,78,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"West Des Moines, IA",Mediacom,78,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Iowa City, IA",Mediacom,76,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Birmingham, AL",Mediacom,76,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Urbana, IL",Mediacom,75,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Saint Paul, MN",Mediacom,68,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Los Angeles, CA",Mediacom,59,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Columbus, GA",Mediacom,58,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Kansas City, MO",Mediacom,57,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Ankeny, IA",Mediacom,54,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"De Witt, IA",Mediacom,53,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Orlando, FL",Mediacom,49,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Milton, FL",Mediacom,47,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Ottumwa, IA",Mediacom,43,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Indianapolis, IN",Mediacom,42,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Council Bluffs, IA",Mediacom,41,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Bettendorf, IA",Mediacom,41,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Davenport, IA",Mediacom,40,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Kent, IL",Mediacom,39,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Washington, D.C., DC",Mediacom,38,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Dubuque, IA",Mediacom,38,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Brooklyn, NY",Mediacom,34,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Houston, TX",MetroPCS,20,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Miami, FL",MetroPCS,20,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Dallas, TX",MetroPCS,19,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Grand Junction, CO",MetroPCS,18,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Chicago, IL",MetroPCS,18,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Los Angeles, CA",MetroPCS,18,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Brooklyn, NY",MetroPCS,18,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Detroit, MI",MetroPCS,17,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"San Antonio, TX",MetroPCS,17,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Irving, TX",MetroPCS,13,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Austin, TX",MetroPCS,12,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Orlando, FL",MetroPCS,11,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Atlanta, GA",MetroPCS,11,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Washington, D.C., DC",MetroPCS,9,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Philadelphia, PA",MetroPCS,9,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Sacramento, CA",MetroPCS,9,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Indianapolis, IN",MetroPCS,8,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Jacksonville, FL",MetroPCS,8,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Tampa, FL",MetroPCS,8,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Charlotte, NC",MetroPCS,7,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Oklahoma City, OK",MetroPCS,7,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Marathon, FL",MetroPCS,7,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Fort Worth, TX",MetroPCS,6,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Kansas City, MO",MetroPCS,5,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Las Vegas, NV",MetroPCS,5,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Augusta, GA",MetroPCS,5,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Memphis, TN",MetroPCS,5,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Portland, OR",MetroPCS,5,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"New York City, NY",MetroPCS,5,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Federal Way, WA",MetroPCS,5,Is the service down,  Some problems detected ,14:16:39
Thu 18 Jul 2019,"Los Angeles, CA",charter-communications,2425,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Charlotte, NC",charter-communications,2394,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Dallas, TX",charter-communications,2381,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Chicago, IL",charter-communications,1511,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Brooklyn, NY",charter-communications,1443,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Houston, TX",charter-communications,1316,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Atlanta, GA",charter-communications,1256,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Orlando, FL",charter-communications,984,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"New York City, NY",charter-communications,782,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Tampa, FL",charter-communications,665,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Austin, TX",charter-communications,609,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Detroit, MI",charter-communications,605,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Kansas City, MO",charter-communications,584,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"San Antonio, TX",charter-communications,482,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Cleveland, OH",charter-communications,472,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"St. Louis, MO",charter-communications,464,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Dayton, OH",charter-communications,456,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Raleigh, NC",charter-communications,414,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Buffalo, NY",charter-communications,395,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Indianapolis, IN",charter-communications,364,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Fort Worth, TX",charter-communications,333,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Louisville, KY",charter-communications,328,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Cincinnati, OH",charter-communications,328,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Akron, OH",charter-communications,327,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"The Bronx, NY",charter-communications,324,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Minneapolis, MN",charter-communications,313,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Honolulu, HI",charter-communications,304,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Seattle, WA",charter-communications,279,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Arlington, TX",charter-communications,272,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Sacramento, CA",charter-communications,263,Is the service down,  Problems detected ,14:06:47
Thu 18 Jul 2019,"Dallas, TX",Suddenlink,737,Is the service down,  Problems detected ,14:05:37
Thu 18 Jul 2019,"Houston, TX",Suddenlink,538,Is the service down,  Problems detected ,14:05:37
